Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-22 21:47:10, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-21 22:02:42, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-20 22:03:03, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-19 22:03:23, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-18 22:03:48, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-17 22:04:11, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-16 22:04:14, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-15 22:04:55, Karachi, Sindh, Pakistan, 24.90, 65, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-14 22:05:57, Karachi, Sindh, Pakistan, 23.90, 73, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-13 22:17:25, Karachi, Sindh, Pakistan, 23.90, 73, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-12 22:19:21, Karachi, Sindh, Pakistan, 23.90, 73, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-11 22:19:33, Karachi, Sindh, Pakistan, 23.90, 73, 2.06, 240, 1013.00
Timestamp, City, Province, Country, Temperature (°C), Humidity (%), Wind Speed (m/s), Wind Direction (°), Pressure (hPa)
2024-11-22 22:45:43, Karachi, Sindh, Pakistan, 23.90, 69, 2.06, 260, 1013.00
